UART Data
24896828,65,01 03 0B B9 00 15 57 C4 01 03 2A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0A 03 06 00 00 00 04 00 19 00 0A 00 17 00 0F 00 1E 12 21 
25296628,66,02 03 0B B9 00 15 57 F7 
26174880,67,00 10 07 D1 00 5A B4 57 46 32 33 31 32 32 37 30 37 30 36 00 00 00 00 04 04 07 D1 00 00 00 01 01 5E 00 00 00 0A 03 05 00 09 00 09 00 00 00 00 00 00 00 A5 00 CE 00 D2 00 00 00 CB 00 CD FF E5 00 00 00 00 00 D0 FF E3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D2 00 D1 00 00 00 00 00 D0 00 D0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 CC 00 00 00 00 00 00 00 CB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FA 00 FA 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 48 00 48 00 00 00 A5 D3 18 
26676404,68,00 10 08 2B 00 5A B4 57 46 32 33 31 32 32 37 30 37 30 36 00 00 00 00 04 04 08 2B 00 00 00 00 FF E3 FF E5 00 00 00 00 5A A5 00 00 00 00 00 00 00 C6 00 00 00 C6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 17 00 13 01 08 00 00 00 00 00 00 00 00 00 00 00 15 00 13 01 08 00 00 00 00 00 00 00 00 00 F8 01 4C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 66 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 25 68 
26801192,69,05 03 03 F3 00 0E 35 FD 
26903900,70,05 03 1C 00 00 00 00 00 00 00 00 00 10 00 00 00 00 00 00 00 00 00 00 5A A5 00 F8 00 EC 01 4C C9 A9 
27302708,71,06 03 03 F3 00 0E 35 CE 
27804232,72,03 03 08 33 00 16 37 89 
27926440,73,03 03 2C 01 08 00 00 00 00 00 00 00 6E 00 91 01 A4 00 00 00 00 00 13 00 00 00 4E 00 00 00 00 09 00 00 14 58 21 00 00 00 00 00 02 00 00 00 00 F6 C0 
28328660,74,03 10 07 CF 00 05 0A 00 00 00 00 00 00 00 00 08 50 2F A9 
28365748,75,03 10 07 CF 00 05 30 A3 
28807272,76,04 03 08 33 00 16 36 3E 
28929740,77,04 03 2C 01 08 00 00 00 00 00 00 00 6E 00 91 01 A3 00 00 00 00 00 13 00 00 00 4C 00 00 00 00 09 00 00 14 58 21 00 00 00 00 00 02 00 00 00 00 22 64 
29331700,78,04 10 07 CF 00 05 0A 00 00 00 00 00 00 00 00 08 50 9D 98 
29368476,79,04 10 07 CF 00 05 31 14 
29912200,80,01 03 0B B9 00 15 57 C4 01 03 2A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0A 03 06 00 00 00 04 00 19 00 0A 00 17 00 0F 00 1E 12 21 
30311836,81,02 03 0B B9 00 15 57 F7 
31190088,82,00 10 07 D1 00 5A B4 57 46 32 33 31 32 32 37 30 37 30 36 00 00 00 00 04 04 07 D1 00 00 00 01 01 5E 00 00 00 0A 03 05 00 09 00 09 00 00 00 00 00 00 00 A5 00 CE 00 D2 00 00 00 CB 00 CD FF E5 00 00 00 00 00 D0 FF E3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D2 00 D1 00 00 00 00 00 D0 00 D0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 CC 00 00 00 00 00 00 00 CB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FA 00 FA 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 49 00 48 00 00 00 A5 C3 D8 
31691608,83,00 10 08 2B 00 5A B4 57 46 32 33 31 32 32 37 30 37 30 36 00 00 00 00 04 04 08 2B 00 00 00 00 FF E3 FF E5 00 00 00 00 5A A5 00 00 00 00 00 00 00 C7 00 00 00 C6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 17 00 13 01 08 00 00 00 00 00 00 00 00 00 00 00 15 00 13 01 08 00 00 00 00 00 00 00 00 00 F8 01 4C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 66 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E7 D6 
31816396,84,05 03 03 F3 00 0E 35 FD 
31919472,85,05 03 1C 00 00 00 00 00 00 00 00 00 10 00 00 00 00 00 00 00 00 00 00 5A A5 00 F8 00 ED 01 4C 98 69 
32317916,86,06 03 03 F3 00 0E 35 CE 
32819436,87,03 03 08 33 00 16 37 89 
32941880,88,03 03 2C 01 08 00 00 00 00 00 00 00 6E 00 91 01 A4 00 00 00 00 00 13 00 00 00 4E 00 00 00 00 09 00 00 14 58 21 00 00 00 00 00 02 00 00 00 00 F6 C0 
33343868,89,03 10 07 CF 00 05 0A 00 00 00 00 00 00 00 00 08 50 2F A9 
33381160,90,03 10 07 CF 00 05 30 A3 
33822480,91,04 03 08 33 00 16 36 3E 
33944320,92,04 03 2C 01 08 00 00 00 00 00 00 00 6E 00 91 01 A3 00 00 00 00 00 13 00 00 00 4C 00 00 00 00 09 00 00 14 58 21 00 00 00 00 00 02 00 00 00 00 22 64 
34346908,93,04 10 07 CF 00 05 0A 00 00 00 00 00 00 00 00 08 50 9D 98 
34383944,94,04 10 07 CF 00 05 31 14 
34927320,95,01 03 0B B9 00 15 57 C4 01 03 2A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0A 03 06 00 00 00 04 00 19 00 0A 00 17 00 0F 00 1E 12 21 
35327040,96,02 03 0B B9 00 15 57 F7 
36205292,97,00 10 07 D1 00 5A B4 57 46 32 33 31 32 32 37 30 37 30 36 00 00 00 00 04 04 07 D1 00 00 00 01 01 5E 00 00 00 0A 03 05 00 09 00 09 00 00 00 00 00 00 00 A5 00 CE 00 D2 00 00 00 CB 00 CD FF E5 00 00 00 00 00 D0 FF E4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D2 00 D1 00 00 00 00 00 D0 00 D0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 CC 00 00 00 00 00 00 00 CB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FA 00 FA 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 49 00 48 00 00 00 A5 89 53 
36706792,98,00 10 08 2B 00 5A B4 57 46 32 33 31 32 32 37 30 37 30 36 00 00 00 00 04 04 08 2B 00 00 00 00 FF E3 FF E5 00 00 00 00 5A A5 00 00 00 00 00 00 00 C7 00 00 00 C6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 17 00 13 01 08 00 00 00 00 00 00 00 00 00 00 00 15 00 13 01 08 00 00 00 00 00 00 00 00 00 F8 01 4C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 66 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E7 D6 
36831604,99,05 03 03 F3 00 0E 35 FD 
36934604,100,05 03 1C 00 00 00 00 00 00 00 00 00 10 00 00 00 00 00 00 00 00 00 00 5A A5 00 F8 00 ED 01 4C 98 69 
37333128,101,06 03 03 F3 00 0E 35 CE 
37834644,102,03 03 08 33 00 16 37 89 
37957268,103,03 03 2C 01 08 00 00 00 00 00 00 00 6E 00 91 01 A4 00 00 00 00 00 13 00 00 00 4E 00 00 00 00 09 00 00 14 58 21 00 00 00 00 00 02 00 00 00 00 F6 C0 
38359048,104,03 10 07 CF 00 05 0A 00 00 00 00 00 00 00 00 08 50 2F A9 
38395536,105,03 10 07 CF 00 05 30 A3 
38837684,106,04 03 08 33 00 16 36 3E 
38959760,107,04 03 2C 01 08 00 00 00 00 00 00 00 6E 00 91 01 A3 00 00 00 00 00 13 00 00 00 4C 00 00 00 00 09 00 00 14 58 21 00 00 00 00 00 02 00 00 00 00 22 64 
39362088,108,04 10 07 CF 00 05 0A 00 00 00 00 00 00 00 00 08 50 9D 98 
39399356,109,04 10 07 CF 00 05 31 14 
39942604,110,01 03 0B B9 00 15 57 C4 01 03 2A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0A 03 06 00 00 00 04 00 19 00 0A 00 17 00 0F 00 1E 12 21 
40342224,111,02 03 0B B9 00 15 57 F7 
41220476,112,00 10 07 D1 00 5A B4 57 46 32 33 31 32 32 37 30 37 30 36 00 00 00 00 04 04 07 D1 00 00 00 01 01 5E 00 00 00 0A 03 05 00 09 00 09 00 00 00 00 00 00 00 A5 00 CE 00 D2 00 00 00 CB 00 CD FF E5 00 00 00 00 00 D0 FF E3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D2 00 D1 00 00 00 00 00 D0 00 D0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 CC 00 00 00 00 00 00 00 CB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FA 00 FA 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 49 00 48 00 00 00 A5 C3 D8 
41721996,113,00 10 08 2B 00 5A B4 57 46 32 33 31 32 32 37 30 37 30 36 00 00 00 00 04 04 08 2B 00 00 00 00 FF E3 FF E5 00 00 00 00 5A A5 00 00 00 00 00 00 00 C7 00 00 00 C6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 17 00 13 01 08 00 00 00 00 00 00 00 00 00 00 00 15 00 13 01 08 00 00 00 00 00 00 00 00 00 F8 01 4C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 66 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E7 D6 
41846784,114,05 03 03 F3 00 0E 35 FD 
41949520,115,05 03 1C 00 00 00 00 00 00 00 00 00 10 00 00 00 00 00 00 00 00 00 00 5A A5 00 F8 00 ED 01 4C 98 69 
42348304,116,06 03 03 F3 00 0E 35 CE 
42849824,117,03 03 08 33 00 16 37 89 
42971616,118,03 03 2C 01 08 00 00 00 00 00 00 00 6E 00 91 01 A4 00 00 00 00 00 13 00 00 00 4E 00 00 00 00 09 00 00 14 58 21 00 00 00 00 00 02 00 00 00 00 F6 C0 
43374252,119,03 10 07 CF 00 05 0A 00 00 00 00 00 00 00 00 08 50 2F A9 
43410924,120,03 10 07 CF 00 05 30 A3 
43852868,121,04 03 08 33 00 16 36 3E 
