UART Data,,
16070736,50,05 03 1C 00 01 01 F4 00 00 00 00 00 10 00 7E 01 F2 00 0A 00 00 00 00 5A A5 01 9D 00 EB 01 48 8B 8D 
16469336,51,06 03 03 F3 00 0E 35 CE 
16970936,52,03 03 08 33 00 16 37 89 
17093144,53,03 03 2C 02 0B 00 00 00 00 00 33 00 6E 00 91 01 A1 00 40 00 81 02 2C 00 00 00 78 00 00 00 00 09 00 00 14 58 21 00 00 00 00 00 02 00 00 00 00 3D 7C 
17495420,54,03 10 07 CF 00 05 0A 00 33 00 03 00 00 00 00 08 50 5C 58 
17532528,55,03 10 07 CF 00 05 30 A3 
17974132,56,04 03 08 33 00 16 36 3E 
18096368,57,04 03 2C 02 0B 00 00 00 00 00 33 00 6E 00 91 01 A0 00 3F 00 7E 02 2A 00 00 00 77 00 00 00 00 09 00 00 14 58 21 00 00 00 00 00 02 00 00 00 00 E8 E5 
18498612,58,04 10 07 CF 00 05 0A 00 33 00 03 00 00 00 00 08 50 EE 69 
18535156,59,04 10 07 CF 00 05 31 14 
18977304,60,01 03 0B B9 00 15 57 C4 
19129508,61,01 03 2A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0A 03 06 00 00 00 04 00 19 00 0B 00 1B 00 0D 00 2A B2 F7 
19478904,62,02 03 0B B9 00 15 57 F7 
20357136,63,00 10 07 D1 00 5A B4 57 46 32 33 31 32 32 37 30 37 30 36 00 00 00 00 04 04 07 D1 00 01 00 01 02 26 00 00 00 0A 03 05 00 09 00 09 00 00 00 00 00 00 00 A5 01 F6 02 2D 00 00 01 0B 00 A1 FF E5 00 00 00 00 00 9F FF E3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 AC 00 B1 00 00 00 00 02 C6 02 C2 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 2F 00 00 00 00 00 00 02 27 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 EC 00 DE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3C 00 3B 00 00 00 A5 38 DC 
